prompt,completion
¿Qué es Git y para qué se utiliza?,"Git es un sistema de control de versiones distribuido, diseñado para manejar todo tipo de proyectos con eficiencia y velocidad. Se utiliza para rastrear cambios en el código fuente. [Más información](https://maximofn.com/git/)"
¿Cuál es la diferencia entre Git y SVN?,"Git es un sistema de control de versiones distribuido, mientras que SVN (Subversion) es un sistema de control de versiones centralizado. [Más información](https://maximofn.com/git/)"
¿Qué son las ramas en Git y cómo se utilizan?,Las ramas en Git permiten a los desarrolladores trabajar en características o arreglos de manera aislada. Se utilizan para desarrollar funcionalidades de forma independiente. [Más información](https://maximofn.com/git/)
¿Cómo se realiza un commit en Git?,"Para realizar un commit en Git, primero se añaden los archivos al área de preparación (staging area) con `git add`, y luego se confirman los cambios con `git commit`. [Más información](https://maximofn.com/git/)"
¿Qué es un repositorio remoto en Git y cómo se configura?,Un repositorio remoto en Git es una versión del proyecto alojada en la red. Se configura utilizando comandos como `git remote add` y `git push`. [Más información](https://maximofn.com/git/)
¿Cómo se fusionan cambios de diferentes ramas en Git?,"Para fusionar cambios de diferentes ramas en Git, se utiliza el comando `git merge` o `git rebase`, dependiendo de la estrategia de fusión deseada. [Más información](https://maximofn.com/git/)"
¿Qué es un pull request en Git?,"Un pull request es una solicitud para que los cambios de una rama se incorporen en otra rama o repositorio, normalmente utilizado en plataformas como GitHub o GitLab. [Más información](https://maximofn.com/git/)"
¿Cómo se maneja un conflicto de fusión en Git?,"Para manejar un conflicto de fusión en Git, se deben resolver manualmente las diferencias en el código y luego realizar un nuevo commit con los cambios resueltos. [Más información](https://maximofn.com/git/)"
¿Qué son los tags en Git y para qué se usan?,"Los tags en Git son referencias a puntos específicos en la historia del proyecto, generalmente utilizados para marcar versiones de lanzamiento. [Más información](https://maximofn.com/git/)"
¿Cómo se restaura una versión anterior de un archivo en Git?,"Para restaurar una versión anterior de un archivo en Git, se utiliza el comando `git checkout` junto con el identificador del commit deseado. [Más información](https://maximofn.com/git/)"
