prompt,completion
¿Qué es una terminal y para qué se utiliza?,Una terminal es una interfaz de línea de comandos que permite al usuario interactuar con el sistema operativo mediante comandos escritos. [Más información](https://maximofn.com/terminal/)
¿Cómo se ejecutan comandos en una terminal?,"En una terminal, se ejecutan comandos escribiéndolos y pulsando `Enter`. Los comandos pueden incluir opciones y argumentos para realizar diferentes tareas. [Más información](https://maximofn.com/terminal/)"
¿Qué es el comando `ls` y cómo se utiliza?,El comando `ls` se utiliza para listar los archivos y directorios en el directorio actual. Puede incluir opciones para cambiar el formato de salida. [Más información](https://maximofn.com/terminal/)
¿Cómo se cambia de directorio en la terminal?,Para cambiar de directorio en la terminal se utiliza el comando `cd` seguido del nombre del directorio de destino. [Más información](https://maximofn.com/terminal/)
¿Qué es el comando `pwd` y para qué sirve?,El comando `pwd` (print working directory) muestra el directorio actual en el que se encuentra el usuario en la terminal. [Más información](https://maximofn.com/terminal/)
¿Cómo se crea un directorio en la terminal?,Para crear un directorio se utiliza el comando `mkdir` seguido del nombre del directorio que se desea crear. [Más información](https://maximofn.com/terminal/)
¿Qué es el comando `touch` y cómo se utiliza?,El comando `touch` se utiliza para crear un archivo vacío o actualizar la fecha de modificación de un archivo existente. [Más información](https://maximofn.com/terminal/)
¿Cómo se copian archivos en la terminal?,"Para copiar archivos se utiliza el comando `cp`, especificando el archivo fuente y el destino. [Más información](https://maximofn.com/terminal/)"
¿Cómo se mueven o renombran archivos en la terminal?,"El comando `mv` se utiliza para mover o renombrar archivos o directorios, especificando el nombre actual y el nuevo nombre o ubicación. [Más información](https://maximofn.com/terminal/)"
¿Qué es el comando `rm` y cómo se utiliza?,El comando `rm` se utiliza para eliminar archivos o directorios. Debe usarse con precaución ya que los elementos eliminados no se pueden recuperar fácilmente. [Más información](https://maximofn.com/terminal/)
