prompt,completion
¿Qué es Docker y para qué se utiliza?,Docker es una plataforma de contenedores que permite empaquetar aplicaciones y sus dependencias en contenedores para garantizar que funcionen sin problemas en cualquier entorno. [Más información](https://maximofn.com/docker/)
¿Qué son los contenedores en Docker?,Los contenedores en Docker son unidades estandarizadas de software que empaquetan el código y todas sus dependencias para garantizar que la aplicación se ejecute de manera rápida y confiable. [Más información](https://maximofn.com/docker/)
¿Cómo se ejecuta un contenedor 'Hello World' en Docker?,"Para ejecutar un contenedor 'Hello World' en Docker, se utiliza el comando `docker run hello-world`. Esto descarga y ejecuta un contenedor de prueba simple. [Más información](https://maximofn.com/docker/)"
¿Qué es Docker Hub?,Docker Hub es un repositorio en línea donde se pueden encontrar y compartir imágenes de Docker. [Más información](https://maximofn.com/docker/)
¿Cómo se instala Docker?,Docker se instala descargando el paquete de instalación adecuado para el sistema operativo y siguiendo las instrucciones de instalación proporcionadas. [Más información](https://maximofn.com/docker/)
¿Qué es una imagen en Docker y cómo se utiliza?,Una imagen en Docker es una plantilla ligera con instrucciones para crear un contenedor. Las imágenes se usan para crear y ejecutar contenedores. [Más información](https://maximofn.com/docker/)
¿Cómo se crea un contenedor en Docker?,"Para crear un contenedor en Docker, se usa el comando `docker run` seguido del nombre de una imagen. Esto crea y ejecuta un contenedor basado en esa imagen. [Más información](https://maximofn.com/docker/)"
¿Qué es el comando `docker run` y cómo se utiliza?,El comando `docker run` se utiliza para crear y ejecutar un contenedor a partir de una imagen. Se pueden especificar diferentes opciones para personalizar la ejecución. [Más información](https://maximofn.com/docker/)
¿Cómo se listan los contenedores activos e inactivos en Docker?,"Para listar contenedores activos e inactivos en Docker, se utiliza el comando `docker ps` para activos y `docker ps -a` para ver todos los contenedores. [Más información](https://maximofn.com/docker/)"
¿Cómo se detiene un contenedor en Docker?,"Para detener un contenedor en Docker, se utiliza el comando `docker stop` seguido del ID o nombre del contenedor. [Más información](https://maximofn.com/docker/)"
